Industry,Stage,Revenue,Company_Age,Profit_Margin,Employee_Count,Growth_Rate,Operating_Expenses,Net_Profit,Marketing_Budget,R&D_Budget,Operations_Cost,Salaries,Legal_Compliance,Miscellaneous
Retail,Early-stage,1925556,1,21.412689196209787,875,12.448998031647207,3530308,2474638,247483.05136892223,174612.52962234613,1941358.9884538034,3183395.8333333335,51479.974474006405,84307.39009655357
Finance,Seed,400325,18,33.39852786419339,712,44.61675941532111,554461,4813420,55769.37508864136,22077.64326248328,351675.2916584912,4354532.666666667,7277.315727411713,8492.793972419293
Healthcare,Seed,6122998,11,-7.004169952354891,740,6.595275284142852,4286199,-358147,793416.8655579414,855265.1022077125,1922263.4631763077,2866513.3333333335,132073.1476422991,297580.94833113486
Tech,Early-stage,6787643,12,9.006833786430128,194,24.230315181731005,3949573,3480008,1245063.7015194572,442994.5622890571,2425442.0123193706,890637.8333333334,279481.5697138194,135121.99452159362
Manufacturing,Early-stage,9319288,19,18.345206649433734,263,38.756253981132886,1799307,298512,1067007.5568386116,1148683.1557183678,1166224.567759174,2028036.8333333333,325076.7918546248,247887.12985012875
Tech,Seed,7542652,19,-5.411088762536844,844,-1.0546592318784191,6734218,3945525,909244.208938369,976698.801489558,2699522.274657991,5046487.0,128927.67453462996,240467.89558401995
Finance,Mature,7343179,18,-8.970492006705395,75,18.819074612102774,1651903,681058,641693.6621867967,927628.9025142058,773571.1457774843,743000.0,304868.63000345015,267943.8460842123
Tech,Seed,804230,3,14.339645318014156,214,8.264743374443405,7730145,2306711,64619.91450090948,94180.8639370688,4484497.750879029,1157044.5,33433.8850062823,37455.69686178305
Healthcare,Growth-stage,4385115,19,31.74915273210565,969,5.368259220850362,6237728,1208243,682954.2710286395,463703.9397509291,2557274.2061017677,5364303.25,153403.64846555435,219156.5827389823
Healthcare,Early-stage,1341458,5,-9.57028090390388,217,8.006449297670303,7302519,-475013,223647.4939842721,55389.10122017275,3885710.2147672726,1153210.3333333333,65733.73811066413,16463.343914363064
Tech,Seed,8962048,17,-7.8678689421781325,649,24.80766624519505,7550896,1509523,850294.4438091506,707223.1283515984,4808008.410120483,3398650.75,150468.29159348697,403645.3657265553
Finance,Seed,6303375,8,31.709604627745428,402,26.72422217033435,4706752,3709236,642662.3852785751,551203.804438402,3258703.0849999124,3420584.5,66598.76364184152,217778.64637387035
Healthcare,Early-stage,9622675,5,2.454373901539501,509,37.956076734667505,4685850,4222646,1575433.5802305168,989532.0772737381,3235728.582307055,3009632.1666666665,101005.47754445045,303621.6377302406
Manufacturing,Growth-stage,4659672,11,9.809337687218804,482,23.422680454910722,706684,2279513,250594.2437747406,293453.79199709377,475905.36999650224,3485261.6666666665,163889.6447676024,184082.58631817307
Manufacturing,Seed,7464272,10,34.656201905892345,66,47.56877470523668,3698426,4843002,395066.6958412857,791969.4320709255,1944313.217775832,351422.5,254916.3708412964,337443.9485959143
Healthcare,Mature,2773239,3,22.365036811279438,505,14.916097788967267,4251860,863787,329944.07765208365,360932.58155904093,2677234.522505136,2065450.0,71440.0405336116,137385.29624601972
Manufacturing,Growth-stage,4872622,7,-2.265114408552212,344,27.930250215460724,4085062,273940,272559.96095454204,644859.7052529531,1863065.732807435,1651974.0,224454.52299432768,202929.2795737674
Healthcare,Mature,5101762,2,-3.0421917491800974,874,9.908701816653972,891564,-430412,334091.6470733036,157436.81233420616,622437.2117335531,6583842.0,131874.052672498,135089.0525780726
Retail,Mature,5784930,5,13.303533072737892,45,21.834772104111188,3995022,664876,971450.5202513987,596059.1748053784,2173641.782778267,260216.25,271752.6040921745,121032.81624487805
Retail,Early-stage,5797295,1,39.20325447471121,14,46.22792468056066,7713189,869966,848470.647467417,812566.0918179397,5223566.257849364,95294.5,126418.30452725352,114868.65004220179
Healthcare,Early-stage,581970,11,13.401531661375984,628,12.418440199816196,5957174,-98069,45733.00410980125,50004.3408053163,3306747.309221654,3490842.6666666665,23587.064972808912,11088.659017459313
Manufacturing,Seed,6929823,6,32.911195373356016,761,42.54262778277533,7673366,319937,710497.29015578,929148.1737789189,3659424.110652368,6398361.166666667,199484.79799496726,330068.01092200767
Retail,Seed,5156128,8,-7.306158571304252,320,15.381195757591204,7686187,4974211,368732.984717236,315088.6987746136,4091831.637943045,3193920.0,175555.7642441416,202257.92010301416
Tech,Mature,6969925,18,-6.224574944071051,52,41.58157371874224,737331,3120793,815211.2101869057,556441.7159041398,381733.7011527843,507398.6666666667,116010.06961666167,249789.23380387845
Finance,Mature,856755,5,-6.409334837441757,973,46.19323742158581,6452230,1163339,125122.88686843343,98915.77095292592,3492572.490051967,9262068.083333334,25220.283629396425,36954.51297037638
Manufacturing,Growth-stage,5447048,19,8.362874909379507,415,12.846560290401005,3720038,1968649,418104.2585552568,376809.99096052843,1886569.1057122052,2679240.0,232827.17552178432,187100.05401671887
Tech,Growth-stage,2931577,10,7.853969292777538,619,24.207167597104544,387008,2313730,502177.54170443857,432449.71297723224,187931.95667044815,4025769.6666666665,66804.24066275686,100180.69631370857
Manufacturing,Early-stage,2465576,1,31.650117374606715,526,0.9225980478873916,1736602,626954,330344.8042065679,288448.907824938,861460.9751679434,3152712.5,118929.27473271382,58407.91759413721
Finance,Early-stage,8490657,4,-0.3136169534133124,924,24.001375949490978,7646332,2976789,1057636.4787149087,1062837.585124898,3073042.617961252,8990443.0,211516.3651383909,342720.0639251601
